name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Huy,huy,,hoei,,,,be,5.234211,50.527242,91.276536,300
Iddergem,iddergem,,,,,,be,4.06849,50.876886,46.790503,300
Idegem,idegem,,,,,,be,3.921553,50.801871,46.790503,300
Ieper,ieper,ypres,,,,,be,2.876593,50.847402,41.497207,300
Ingelmunster,ingelmunster,,,,,,be,3.255416,50.914326,68.740223,300
Izegem,izegem,,,,,,be,3.212088,50.921149,68.740223,300
Jambes,jambes,,,,,,be,4.876144,50.454843,97.622905,300
Jambes-Est,jambes-est,,,,,,be,4.880261,50.454798,72.427374,300
Jamioulx,jamioulx,,,,,,be,4.411294,50.352896,32.899441,300
Jemappes,jemappes,,,,,,be,3.885587,50.452577,101.530726,300
Jemeppe-sur-Meuse,jemeppe-sur-meuse,,,,,,be,5.497874,50.618446,89.198324,300
Jemeppe-sur-Sambre,jemeppe-sur-sambre,,,,,,be,4.662632,50.45095,119.01676,240
Jette,jette,,,,,,be,4.32622,50.880833,150.871508,300
Jurbeke,jurbeke,jurbise,,jurbise,jurbise,,be,3.910694,50.530496,122.790503,300
Juslenville,juslenville,,,,,,be,5.809935,50.544717,31.536313,300
Kalmthout,kalmthout,,,,,,be,4.46682,51.391177,81.234637,300
Kapelle-op-den-Bos,kapelle-op-den-bos,,,,,,be,4.359121,51.010843,63.223464,300
Kapellen,kapellen,,,,,,be,4.432661,51.313528,81.234637,300
Kautebaach,kautebaach,kautenbach,kautenbach,kautenbach,,,lu,6.020003,49.952777,20.061453,300
Kessel,kessel,,,,,,be,4.618459,51.151057,137.522346,300
Kiewit,kiewit,,,,,,be,5.350226,50.954841,42.150838,300
Kijkuit,kijkuit,,,,,,be,4.467315,51.378664,81.234637,300
Klengbetten,klengbetten,kleinbettingen,kleinbettingen,kleinbettingen,,,lu,5.916385,49.646389,55.100559,300
Knokke,knokke,,,,,,be,3.285188,51.339894,38.50838,300
Koksijde,koksijde,coxyde,,,,,be,2.65277,51.079197,37.48324,300
Kontich-Lint,kontich-lint,,,,,,be,4.476358,51.134023,254.860335,300
Kortemark,kortemark,,,,,,be,3.043459,51.025244,37.27095,300
